period,id,name,value
2024-06-28,WCEIMP12,P1 Imports (kbd),988.0
2024-06-28,WCEIMP22,P2 Imports (kbd),3092.0
2024-06-28,WCEIMP32,P3 Imports (kbd),1226.0
2024-06-28,WCEIMP42,P4 Imports (kbd),439.0
2024-06-28,WCEIMP52,P5 Imports (kbd),802.0
2024-06-28,WCEIMUS2,US Imports (kbd),6547.0
2024-06-28,WCESTP11,P1 Commercial Stocks (kb),8059.0
2024-06-28,WCESTP21,P2 Commercial Stocks (kb),116029.0
2024-06-28,WCESTP31,P3 Commercial Stocks (kb),257139.0
2024-06-28,WCESTP41,P4 Commercial Stocks (kb),23400.0
2024-06-28,WCESTP51,P5 Commercial Stocks (kb),43912.0
2024-06-28,WCESTUS1,US Commercial Stocks (kb),448539.0
2024-06-28,WCREXUS2,US Crude Exports (kbd),4401.0
2024-06-28,WCRFPUS2,US Production (kbd),13200.0
2024-06-28,WCRRIP12,P1 Refinery Runs (kbd),838.0
2024-06-28,WCRRIP22,P2 Refinery Runs (kbd),3943.0
2024-06-28,WCRRIP32,P3 Refinery Runs (kbd),9246.0
2024-06-28,WCRRIP42,P4 Refinery Runs (kbd),624.0
2024-06-28,WCRRIP52,P5 Refinery Runs (kbd),2140.0
2024-06-28,WCRRIUS2,US Refinery Runs (kbd),16792.0
2024-06-28,WCRSTUS1,Total Stocks (kb),821134.0
2024-06-28,WCSSTUS1,SPR Stocks (kb),372595.0
2024-06-28,WDIEXUS2,US Distillate Exports (kbd),1705.0
2024-06-28,WDIIMUS2,US Distillate Imports (kbd),94.0
2024-06-28,WDIIM_R10-Z00_2,P1 Distillate Imports (kbd),78.0
2024-06-28,WDIIM_R20-Z00_2,P2 Distillate Imports (kbd),5.0
2024-06-28,WDIIM_R30-Z00_2,P3 Distillate Imports (kbd),0.0
2024-06-28,WDIIM_R40-Z00_2,P4 Distillate Imports (kbd),0.0
2024-06-28,WDIIM_R50-Z00_2,P5 Distillate Imports (kbd),11.0
2024-06-28,WDIRPP12,P1 Distillate Production (kbd),255.0
2024-06-28,WDIRPP22,P2 Distillate Production (kbd),1102.0
2024-06-28,WDIRPP32,P3 Distillate Production (kbd),3089.0
2024-06-28,WDIRPP42,P4 Distillate Production (kbd),187.0
2024-06-28,WDIRPP52,P5 Distillate Production (kbd),473.0
2024-06-28,WDIRPUS2,US Distillate Production (kbd),5106.0
2024-06-28,WDISTP11,P1 Distillate Stocks (kb),33334.0
2024-06-28,WDISTP21,P2 Distillate Stocks (kb),30483.0
2024-06-28,WDISTP31,P3 Distillate Stocks (kb),41963.0
2024-06-28,WDISTP41,P4 Distillate Stocks (kb),3880.0
2024-06-28,WDISTP51,P5 Distillate Stocks (kb),10068.0
2024-06-28,WDISTUS1,US Distillate Stocks (kb),119728.0
2024-06-28,WDIUPUS2,Distillate Supplied (kbd),3715.0
2024-06-28,WGFRPP12,P1 Gasoline Production (kbd),3300.0
2024-06-28,WGFRPP22,P2 Gasoline Production (kbd),2575.0
2024-06-28,WGFRPP32,P3 Gasoline Production (kbd),2081.0
2024-06-28,WGFRPP42,P4 Gasoline Production (kbd),392.0
2024-06-28,WGFRPP52,P5 Gasoline Production (kbd),1403.0
2024-06-28,WGFRPUS2,US Gasoline Production (kbd),10061.0
2024-06-28,WGFUPUS2,Gasoline Supplied (kbd),9424.0
2024-06-28,WGIRIP12,P1 Gross Runs (kbd),841.0
2024-06-28,WGIRIP22,P2 Gross Runs (kbd),3954.0
2024-06-28,WGIRIP32,P3 Gross Runs (kbd),9523.0
2024-06-28,WGIRIP42,P4 Gross Runs (kbd),621.0
2024-06-28,WGIRIP52,P5 Gross Runs (kbd),2204.0
2024-06-28,WGIRIUS2,US Gross Runs (kbd),17143.0
2024-06-28,WGTIMUS2,US Gasoline Imports (kbd),851.0
2024-06-28,WGTIM_R10-Z00_2,P1 Gasoline Imports (kbd),596.0
2024-06-28,WGTIM_R20-Z00_2,P2 Gasoline Imports (kbd),6.0
2024-06-28,WGTIM_R30-Z00_2,P3 Gasoline Imports (kbd),141.0
2024-06-28,WGTIM_R40-Z00_2,P4 Gasoline Imports (kbd),5.0
2024-06-28,WGTIM_R50-Z00_2,P5 Gasoline Imports (kbd),104.0
2024-06-28,WGTSTP11,P1 Gasoline Stocks (kb),56973.0
2024-06-28,WGTSTP21,P2 Gasoline Stocks (kb),48098.0
2024-06-28,WGTSTP31,P3 Gasoline Stocks (kb),86820.0
2024-06-28,WGTSTP41,P4 Gasoline Stocks (kb),7926.0
2024-06-28,WGTSTP51,P5 Gasoline Stocks (kb),31855.0
2024-06-28,WGTSTUS1,USGasoline Stocks (kb),231672.0
2024-06-28,WKJEXUS2,US Jet Exports (kbd),271.0
2024-06-28,WKJIMUS2,US Jet Imports (kbd),130.0
2024-06-28,WKJIM_R10-Z00_2,P1 Jet Imports (kbd),33.0
2024-06-28,WKJIM_R20-Z00_2,P2 Jet Imports (kbd),0.0
2024-06-28,WKJIM_R30-Z00_2,P3 Jet Imports (kbd),0.0
2024-06-28,WKJIM_R40-Z00_2,P4 Jet Imports (kbd),0.0
2024-06-28,WKJIM_R50-Z00_2,P5 Jet Imports (kbd),97.0
2024-06-28,WKJRPP12,P1 JetProduction (kbd),106.0
2024-06-28,WKJRPP22,P2 Jet Production (kbd),323.0
2024-06-28,WKJRPP32,P3 Jet Production (kbd),986.0
2024-06-28,WKJRPP42,P4 Jet Production (kbd),35.0
2024-06-28,WKJRPP52,P5 Jet Production (kbd),441.0
2024-06-28,WKJRPUS2,US Jet Production (kbd),1892.0
2024-06-28,WKJSTP11,P1 Jet Stocks (kb),10124.0
2024-06-28,WKJSTP21,P2 Jet Stocks (kb),7186.0
2024-06-28,WKJSTP31,P3 Jet Stocks (kb),15159.0
2024-06-28,WKJSTP41,P4 Jet Stocks (kb),725.0
2024-06-28,WKJSTP51,P5 Jet Stocks (kb),10107.0
2024-06-28,WKJSTUS1,US Jet Stocks (kb),43301.0
2024-06-28,WKJUPUS2,Jet Supplied (kbd),1834.0
2024-06-28,WPRIMP12,P1 C3/C3= Imports (kbd),24.0
2024-06-28,WPRIMP22,P2 C3/C3= Imports (kbd),27.0
2024-06-28,WPRIMP32,P3 C3/C3= Imports (kbd),0.0
2024-06-28,WPRIM_NUS-Z00_2,US C3/C3= Imports (kbd),79.0
2024-06-28,WPRNPP12,P1 C3/C3= Production (kbd),246.0
2024-06-28,WPRNPP22,P2 C3/C3= Production (kbd),529.0
2024-06-28,WPRNPP32,P3 C3/C3= Production (kbd),1721.0
2024-06-28,WPRSTP11,P1 C3/C3= Stocks (kb),6399.0
2024-06-28,WPRSTP21,P2 C3/C3= Stocks (kb),23358.0
2024-06-28,WPRSTP31,P3 C3/C3= Stocks (kb),41260.0
2024-06-28,WPRSTUS1,US C3/C3= Stocks (kb),75836.0
2024-06-28,WPRST_R4N5_1,P4P5 C3/C3= Stocks (kb),4818.0
2024-06-28,WPRTP_NUS_2,US C3/C3= Production (kbd),2737.0
2024-06-28,WPRUP_NUS_2, C3/C3= Supplied (kbd),660.0
2024-06-28,WPULEUS3,US Refinery Utilization (pct),93.5
2024-06-28,WREEXUS2,US Fuel Oil Exports (kbd),177.0
2024-06-28,WREIMUS2,US Fuel Oil Imports (kbd),45.0
2024-06-28,WREIM_R10-Z00_2,P1 Fuel Oil Imports (kbd),1.0
2024-06-28,WREIM_R20-Z00_2,P2 Fuel Oil Imports (kbd),2.0
2024-06-28,WREIM_R30-Z00_2,P3 Fuel Oil Imports (kbd),42.0
2024-06-28,WREIM_R40-Z00_2,P4 Fuel Oil Imports (kbd),0.0
2024-06-28,WREIM_R50-Z00_2,P5 Fuel Oil Imports (kbd),0.0
2024-06-28,WRERPP12,P1 Fuel Oil Production (kbd),58.0
2024-06-28,WRERPP22,P2 Fuel Oil Production (kbd),39.0
2024-06-28,WRERPP32,P3 Fuel Oil Production (kbd),135.0
2024-06-28,WRERPP42,P4 Fuel Oil Production (kbd),11.0
2024-06-28,WRERPP52,P5 Fuel Oil Production (kbd),96.0
2024-06-28,WRERPUS2,US Fuel Oil Production (kbd),339.0
2024-06-28,WRESTP11,P1 Fuel Oil Stocks (kb),5715.0
2024-06-28,WRESTP21,P2 Fuel Oil Stocks (kb),984.0
2024-06-28,WRESTP31,P3 Fuel Oil Stocks (kb),16734.0
2024-06-28,WRESTP41,P4 Fuel Oil Stocks (kb),208.0
2024-06-28,WRESTP51,P5 Fuel Oil Stocks (kb),4551.0
2024-06-28,WRESTUS1,US Fuel Oil Stocks (kb),28193.0
2024-06-28,WREUPUS2,Fuel Oil Supplied (kbd),245.0
2024-06-28,WRPUPUS2,Products Supplied (kbd),21083.0
2024-06-28,WWOUP_NUS_2,Other Oils Supplied (kbd),5206.0
2024-06-28,W_EPC0_FPF_R48_MBBLD,L48 Production (kbd),12800.0
2024-06-28,W_EPC0_FPF_SAK_MBBLD,AK Production (kbd),383.0
2024-06-28,W_EPC0_SAX_YCUOK_MBBL,Cushing Stocks (kb),34241.0
2024-06-28,W_EPC0_SKA_NUS_MBBL,Alaska Stocks (kb),2225.0
2024-06-28,W_EPLLPZ_EEX_NUS-Z00_MBBLD,US C3/C3= Exports (kbd),1827.0
2024-06-28,W_EPLLPZ_IM0_R45-Z00_MBBLD,P4P5 C3/C3= Imports (kbd),28.0
2024-06-28,W_EPLLPZ_YPT_R4N5_MBBLD,P4P5 C3/C3= Production (kbd),241.0
2024-06-28,W_EPM0F_EEX_NUS-Z00_MBBLD,US Gasoline Exports (kbd),971.0
2024-06-28,W_NA_YUP_R10_PER,P1 Refinery Utilization (pct),92.4
2024-06-28,W_NA_YUP_R20_PER,P2 Refinery Utilization (pct),93.1
2024-06-28,W_NA_YUP_R30_PER,P3 Refinery Utilization (pct),95.4
2024-06-28,W_NA_YUP_R40_PER,P4 Refinery Utilization (pct),95.2
2024-06-28,W_NA_YUP_R50_PER,P5 Refinery Utilization (pct),87.1
2024-06-28,feedstockRunsUS,US Feedstock Runs (kbd),351.0
2024-06-28,feddStockRunsP1,P1 Feedstock Runs (kbd),3.0
2024-06-28,feedstockRunsP2,P2 Feedstock Runs (kbd),11.0
2024-06-28,feedstockRunsP3,P3 Feedstock Runs (kbd),277.0
2024-06-28,feedstockRunsP4,P4 Feedstock Runs (kbd),-3.0
2024-06-28,feedstockRunsP5,P5 Feedstock Runs (kbd),64.0
2024-06-28,crudeRunsP9,P9 Crude Runs (kbd),13813.0
2024-06-28,grossRunsP9,P9 Gross Runs (kbd),14098.0
2024-06-28,feedstockRunsP9,P9 Feedstock Runs (kbd),285.0
2024-06-28,crudeStocksP9,P9 Stocks (kb),396568.0
2024-06-28,crudeImportsP9,P9 Crude Imports (kbd),4757.0
2024-06-28,crudeStocksP2E,P2E Stocks (kb),81788.0
2024-06-28,crudeOriginalAdjustment,OG Adjustment Factor (kbd),-234.0
