unit,shorthand
million barrels per day,mbd
gigawatts,gw
billion cubic feet per day,bcfd
million barrels,mb
quadrillion btu,qbtu
megawatts,mw
billion kilowatthours,bkwh
dollars per barrel,usd/bbl
"million barrels, end-of-period",mb eop
billion chained 2017 dollars (seasonally-adjusted annual rate),b2017usd (saar)
billion kilowatthours per day,bkwhd
"index, 1982-1984=1.00",index 82-84=1.00
million short tons,mmst
thousand short tons,kst
percentage,pct
dollars per million btu,usd/mmbtu
tons per hour,tph
"million short tons, end-of-period",mmst eop
thousand barrels per day,kbd
million barres per day,mbd
million barrles per day,mbd
million metric tons,mmt
cents per gallon,c/gal
dollars per gallon,usd/gal
real dollars per gallon,real usd/gal
millions,m
thousand customers,k customers
dollars per megawatthour,usd/mwh
percent change from prior year,pct yoy
fraction,frac
cents per kilowatthour,c/kwh
cents per kilowatt hour,c/kwh
million kilowatthours per day,mkwhd
kilowatthours,kwh
"index, 2017 = 100",index 2017=100
millions (seasonally-adjusted annual rate),m (saar)
"index, 2017=100",index 2017=100
million miles/day,m mi/d
"billion cubic feet, end-of-period",bcf eop
dollars per thousand cubic feet,usd/mcf
billion cubic feet,bcf
million cubic feet per day,mmcfd
operating factor,op factor
thousand barrels,kb
percent,pct
thousands,k
real dollars per barrel,real usd/bbl
"index, 1982=1.00",index 82=1.00
"index, 2017=100 (seasonally adjusted)",index 2017=100 (sa)
total degree days,tdd
